mainFrameColor,116,23,19
jButton1,160,3,66
jButton2,165,44,190
jButton3,100,116,144
jButton4,233,132,5
jButton5,42,131,48
jButton6,246,50,71
jButton7,217,208,175
jButton8,245,143,103
jButton9,36,203,88
jButton10,9,236,186
jButton11,119,24,19
jButton12,227,135,201
jButton13,165,243,103
jButton14,62,164,82
jButton15,106,39,135
jButton16,75,116,176
jButton17,214,209,249
jButton18,168,125,66
jTextField1,154,94,188
jTextField1TextColor,55,19,254
jLabel1,40,247,49
jPanel1,8,39,228
jPanel2,50,145,212
jPanel3,6,218,42
jPanel4,249,78,46
jPanel5,74,201,136
currentFitness,2.2657793879526448E8
