Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Obj1, Obj2, Obj3
0.992902, 1.000000, 0.587866, 0.448191, 0.496143, 0.513430, 0.527334, 0.425459, 0.500881, 0.481480, 0.451488, 0.525297, 0.000000, 0.732124, 0.710553
0.993133, 0.882881, 0.495264, 0.531053, 0.501405, 0.490142, 0.491790, 0.484872, 0.505544, 0.490781, 0.510395, 0.519326, 0.706252, 0.000004, 0.710754
0.000000, 0.993224, 0.497973, 0.507287, 0.498616, 0.526983, 0.495555, 0.522894, 0.501760, 0.468398, 0.503463, 0.500231, 0.701305, 0.716147, 0.000000
0.990907, 0.993198, 0.535726, 0.483475, 0.502822, 0.498541, 0.508670, 0.477513, 0.495613, 0.519915, 0.484529, 0.494795, 0.568095, 0.577733, 0.590886
0.271447, 0.870170, 0.495009, 0.502023, 0.503972, 0.500579, 0.499869, 0.509571, 0.500830, 0.502667, 0.504578, 0.497196, 1.000173, 0.000001, 0.000000
0.999818, 0.772498, 0.499826, 0.497924, 0.493864, 0.500054, 0.499295, 0.500886, 0.497220, 0.495579, 0.500378, 0.503299, 0.028336, 0.000000, 0.999680
0.000000, 1.000000, 0.500814, 0.499612, 0.500427, 0.497090, 0.498810, 0.497179, 0.499651, 0.500259, 0.501022, 0.496639, 0.000000, 1.000031, 0.000000
0.965820, 0.954269, 0.505918, 0.499827, 0.490728, 0.498076, 0.504007, 0.494617, 0.507054, 0.492665, 0.506983, 0.494968, 0.999065, 0.014549, 0.048498
0.997916, 0.994406, 0.545656, 0.454813, 0.500863, 0.517139, 0.518889, 0.506332, 0.494447, 0.494856, 0.498373, 0.497470, 0.182866, 0.228750, 0.961262
0.983018, 0.992911, 0.563089, 0.517000, 0.506549, 0.496629, 0.502035, 0.495092, 0.500845, 0.507124, 0.493177, 0.513828, 0.691693, 0.672301, 0.280848
0.992902, 0.969242, 0.556914, 0.466135, 0.496143, 0.513430, 0.527334, 0.453497, 0.500881, 0.487073, 0.477994, 0.525297, 0.722176, 0.049966, 0.702573
0.000000, 0.994307, 0.497973, 0.510402, 0.498616, 0.497023, 0.495555, 0.501667, 0.501760, 0.468398, 0.503463, 0.500231, 0.632101, 0.776382, 0.000000
0.981519, 0.998229, 0.505972, 0.506287, 0.523349, 0.472868, 0.498539, 0.490828, 0.501070, 0.496941, 0.457761, 0.469622, 0.245953, 0.943059, 0.241836
0.991840, 0.999177, 0.490749, 0.511384, 0.536272, 0.496475, 0.496565, 0.488733, 0.521647, 0.492262, 0.504849, 0.506680, 0.095515, 0.765618, 0.639741
0.992541, 0.997229, 0.512697, 0.517877, 0.501316, 0.498820, 0.508926, 0.514193, 0.501075, 0.453674, 0.479638, 0.480117, 0.274635, 0.686274, 0.679016
0.993289, 0.850341, 0.495264, 0.531053, 0.496490, 0.490142, 0.491790, 0.480704, 0.505544, 0.500158, 0.506246, 0.519326, 0.697284, 0.000000, 0.719553
0.981519, 0.980805, 0.499573, 0.504188, 0.540910, 0.464188, 0.545535, 0.466680, 0.490395, 0.481458, 0.539814, 0.502563, 0.953594, 0.219411, 0.242806
0.000000, 0.910070, 0.495009, 0.502023, 0.500557, 0.500579, 0.499869, 0.500604, 0.500830, 0.502667, 0.501848, 0.497196, 1.000049, 0.000127, 0.000000
0.000000, 0.987936, 0.499539, 0.508739, 0.497180, 0.500058, 0.497870, 0.515954, 0.507407, 0.500795, 0.487425, 0.515253, 0.893791, 0.450242, 0.000000
1.000000, 0.798232, 0.497842, 0.498150, 0.493864, 0.499762, 0.499295, 0.500699, 0.503819, 0.498927, 0.504079, 0.499784, 0.000000, 0.000000, 1.000079
0.988960, 0.866002, 0.518238, 0.504154, 0.488123, 0.484306, 0.516209, 0.489475, 0.507842, 0.529055, 0.509726, 0.491438, 0.870916, 0.000001, 0.495862
0.338974, 0.996557, 0.505645, 0.500213, 0.523659, 0.509099, 0.493662, 0.500003, 0.490478, 0.502495, 0.498183, 0.505254, 0.442736, 0.897591, 0.000000
0.996095, 0.998170, 0.505077, 0.489398, 0.514649, 0.539193, 0.510976, 0.451600, 0.486080, 0.467276, 0.425048, 0.511860, 0.128006, 0.475555, 0.883369
0.994228, 0.994578, 0.519292, 0.516783, 0.469705, 0.507806, 0.502419, 0.440050, 0.526655, 0.475779, 0.481709, 0.503407, 0.392505, 0.506985, 0.776341
0.989398, 0.987509, 0.511071, 0.513932, 0.487252, 0.458523, 0.518930, 0.499180, 0.512759, 0.498196, 0.484529, 0.489820, 0.775369, 0.371600, 0.516586
0.989191, 0.996437, 0.526362, 0.513760, 0.473277, 0.496778, 0.466354, 0.500579, 0.485670, 0.502469, 0.496612, 0.485536, 0.393172, 0.771186, 0.506996
0.985453, 0.995287, 0.521315, 0.535618, 0.501858, 0.498181, 0.489208, 0.500579, 0.503219, 0.502633, 0.519894, 0.478437, 0.522626, 0.778237, 0.355901
0.997321, 0.996542, 0.517950, 0.512870, 0.504437, 0.474555, 0.532133, 0.507227, 0.489074, 0.493370, 0.531218, 0.492727, 0.160879, 0.324779, 0.935687
0.997673, 0.952042, 0.494931, 0.496218, 0.475217, 0.507472, 0.494309, 0.502062, 0.506407, 0.491545, 0.497476, 0.506284, 0.320921, 0.003700, 0.948054
0.986208, 0.989492, 0.516080, 0.500336, 0.495484, 0.472727, 0.521898, 0.498781, 0.502094, 0.510340, 0.497211, 0.490475, 0.791138, 0.480912, 0.382432
0.140931, 0.997853, 0.491249, 0.501501, 0.501505, 0.506839, 0.500627, 0.505501, 0.502688, 0.511758, 0.496417, 0.494248, 0.299219, 0.954551, 0.000000
0.043653, 0.983925, 0.517295, 0.490394, 0.495341, 0.513461, 0.498636, 0.485279, 0.508287, 0.530101, 0.502595, 0.507125, 0.953886, 0.306261, 0.000000
0.985180, 0.980805, 0.499573, 0.499349, 0.512003, 0.464188, 0.545535, 0.512156, 0.489672, 0.496035, 0.513049, 0.502563, 0.918077, 0.211239, 0.347020
0.994834, 0.989492, 0.541530, 0.520413, 0.496156, 0.521454, 0.508572, 0.513793, 0.497759, 0.494630, 0.499011, 0.500314, 0.508346, 0.309010, 0.807426
0.984960, 0.998706, 0.501838, 0.516789, 0.497954, 0.493869, 0.516611, 0.479438, 0.491145, 0.491198, 0.503746, 0.480675, 0.178782, 0.925403, 0.338833
0.996616, 0.956980, 0.511877, 0.487690, 0.479852, 0.499865, 0.495407, 0.501529, 0.487310, 0.511436, 0.508306, 0.504434, 0.436809, 0.008448, 0.900740
0.986926, 0.999408, 0.512525, 0.501746, 0.502503, 0.474610, 0.526330, 0.505978, 0.495815, 0.461773, 0.524286, 0.504553, 0.082548, 0.912140, 0.410437
0.998598, 0.837545, 0.491584, 0.524201, 0.521149, 0.453719, 0.521955, 0.490362, 0.508610, 0.492008, 0.506668, 0.453103, 0.205506, 0.000000, 0.984993
0.978551, 1.000000, 0.500014, 0.507045, 0.490874, 0.508397, 0.485356, 0.466178, 0.507076, 0.470467, 0.488631, 0.503148, 0.000000, 0.986484, 0.179173
