Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Var13, Var14, Var15, Var16, Var17, Var18, Var19, Var20, Var21, Var22, Var23, Var24, Var25, Var26, Var27, Var28, Var29, Var30, Var31, Var32, Var33, Var34, Var35, Var36, Var37, Var38, Var39, Var40, Var41, Var42, Var43, Var44, Var45, Var46, Var47, Var48, Var49, Var50, Var51, Var52, Var53, Var54, Var55, Var56, Var57, Var58, Var59, Var60, Var61, Var62, Var63, Var64, Var65, Var66, Var67, Var68, Var69, Var70, Var71, Var72, Var73, Var74, Var75, Var76, Var77, Var78, Var79, Var80, Var81, Obj1, Obj2, Constr1, Constr2
89.689509, 19.058569, 82.476092, 202.890432, 6.568996, 122.176135, 243.139587, 228.397418, 61.030230, 223.882051, 40.056572, 10.865976, 171.943221, 3.809897, 38.530589, 75.926824, 147.454735, 160.589119, 227.966226, 93.784067, 168.291676, 80.984044, 7.985536, 8.329190, 213.393939, 150.665816, 157.610331, 92.869534, 165.763828, 241.928226, 62.114119, 127.644871, 195.094359, 71.326275, 233.097020, 235.661661, 221.008042, 209.035472, 184.583070, 228.244940, 20.345914, 164.972261, 11.454514, 195.491266, 80.438529, 171.930166, 189.867873, 119.301221, 83.043443, 222.122899, 33.604315, 249.402772, 54.226271, 175.341995, 63.520903, 60.523792, 175.680368, 210.295484, 196.088540, 237.237358, 242.872491, 28.205407, 176.806127, 112.752029, 26.292521, 186.718059, 18.847002, 137.848581, 165.486522, 247.234582, 28.870115, 202.002961, 68.188249, 95.898468, 96.674215, 247.033049, 29.388028, 188.209760, 156.012839, 172.020589, 124.669319, 0.000000, 67.110307, 0.000000, 0.000000
224.561065, 153.936949, 222.844297, 133.252719, 2.965667, 160.019486, 108.492139, 205.087756, 168.188364, 179.681466, 41.775538, 118.574088, 159.390722, 7.668689, 99.408414, 122.617222, 162.571024, 231.639541, 58.269743, 245.534954, 163.965564, 152.551464, 208.003242, 103.992433, 49.510520, 217.343507, 87.495477, 97.457793, 220.751808, 175.085713, 64.512170, 160.624653, 198.865525, 209.038953, 151.459938, 244.730339, 240.589225, 183.944690, 46.465360, 99.481662, 177.974077, 210.156671, 152.334581, 212.775767, 16.161399, 65.695255, 108.627701, 224.579218, 210.706542, 115.908694, 69.780581, 124.214675, 177.354255, 2.731189, 69.638937, 192.955441, 25.613000, 176.472810, 38.588852, 217.220447, 160.377584, 140.881234, 209.213581, 225.169091, 17.238447, 31.879589, 108.776472, 241.336759, 106.995706, 110.341055, 93.671979, 216.833727, 14.474567, 175.572640, 203.795886, 116.598707, 165.341044, 38.878044, 174.323982, 215.789709, 203.973529, 186088853.180975, 143.095070, 0.000000, 47.327985
245.517061, 111.088007, 105.749730, 189.765751, 233.592772, 212.624389, 74.284572, 188.098093, 75.323288, 144.774687, 227.244101, 121.096495, 103.144877, 223.789932, 121.543849, 149.012299, 203.502487, 37.316422, 50.405228, 174.981131, 12.064109, 27.141083, 253.222589, 250.551287, 116.073699, 9.920103, 105.983836, 36.423843, 68.635710, 200.871286, 68.783391, 42.586158, 79.711029, 218.606202, 121.765354, 176.502142, 142.006148, 224.042778, 188.673963, 236.588204, 3.205923, 142.522634, 140.801211, 174.556053, 245.095653, 37.857014, 232.187324, 188.551083, 169.648487, 211.066915, 63.118134, 180.585062, 107.176028, 239.145389, 222.715002, 65.917448, 81.134933, 132.482439, 31.753151, 156.373606, 92.482399, 33.534107, 63.159579, 30.511879, 42.054429, 45.379057, 242.706818, 170.587127, 128.688414, 210.160906, 114.495079, 119.772813, 250.780171, 57.532639, 39.145921, 102.648384, 108.007477, 76.988533, 76.414320, 179.953144, 165.620578, 242698082.149805, 109.856435, 0.000000, 14.089350
152.907178, 40.456352, 225.788549, 217.051456, 221.284738, 123.196689, 91.303021, 90.289121, 133.911348, 58.612208, 153.946467, 183.160668, 143.390336, 226.114476, 31.107761, 28.032214, 142.134694, 22.148408, 236.759052, 35.495771, 142.981227, 156.885793, 197.955367, 85.698205, 198.797172, 114.848907, 85.906181, 104.284070, 220.427771, 173.309532, 85.052062, 146.168158, 24.017007, 52.754863, 242.055572, 13.154883, 29.126442, 7.432871, 172.947466, 105.689907, 153.239067, 213.701761, 185.375119, 93.007756, 178.573262, 141.745811, 139.014231, 182.466440, 129.317138, 56.223118, 17.081796, 30.336141, 178.779165, 188.365126, 147.674282, 47.342565, 222.169995, 7.631769, 107.801216, 97.379016, 118.560336, 96.677903, 237.597102, 32.820996, 45.479307, 169.077064, 1.437255, 44.335349, 137.562147, 212.037540, 58.963760, 3.224269, 198.376372, 51.266481, 188.144617, 221.588414, 175.559559, 252.384569, 215.098291, 36.278162, 48.325287, 269133039.386005, 111.342610, 0.000000, 15.575525
7.358818, 212.943963, 239.415282, 43.809844, 181.924667, 86.711179, 45.593191, 82.445733, 212.538712, 188.684846, 50.918852, 159.120833, 206.639421, 46.839668, 151.976079, 237.849097, 145.450903, 121.965000, 95.694815, 12.955608, 208.477927, 200.324877, 7.420528, 221.330078, 146.038560, 225.863957, 162.897600, 95.137597, 161.814578, 15.576594, 242.791887, 189.862087, 71.127288, 66.936370, 209.992556, 216.769531, 74.688423, 25.017568, 167.316541, 107.727655, 178.318589, 147.002649, 26.301640, 181.853843, 197.730278, 209.267132, 231.529133, 160.534194, 32.448300, 86.747832, 103.519417, 6.505064, 8.486412, 67.383219, 142.439781, 245.322375, 55.578312, 24.722275, 180.315837, 54.933170, 27.544867, 173.390744, 178.704417, 129.007505, 75.285141, 83.532505, 246.901769, 50.843566, 111.385112, 131.656049, 154.796542, 106.079031, 61.317602, 58.013600, 224.454477, 217.370257, 31.118058, 222.507663, 217.932493, 220.459875, 211.269563, 195161055.299163, 124.614137, 0.000000, 28.847052
179.616225, 118.128371, 224.324958, 131.589590, 176.343461, 15.307566, 200.952591, 208.149230, 127.839061, 46.853303, 149.919352, 0.777809, 210.638212, 200.213147, 72.598823, 225.544770, 95.795103, 26.518761, 76.484217, 27.189853, 11.581408, 18.786741, 39.629958, 39.055976, 164.143481, 115.588617, 45.144175, 64.746144, 243.554403, 89.485002, 34.223122, 133.662769, 203.797333, 51.869632, 177.518511, 70.926185, 16.404394, 148.503061, 113.942723, 100.405456, 115.449561, 151.788067, 187.334380, 115.381732, 30.801886, 50.449702, 102.304337, 70.581443, 203.833936, 210.140476, 106.147571, 211.416102, 231.921963, 207.837089, 190.654016, 95.706686, 73.319029, 185.295204, 124.822884, 61.845377, 84.736216, 242.720387, 146.130201, 28.512394, 113.483185, 84.801882, 162.281039, 38.483909, 206.321121, 85.785715, 119.611826, 156.376235, 28.055639, 23.916048, 141.874208, 65.318130, 157.519863, 136.853302, 163.281227, 5.918941, 176.093175, 151881181.053562, 130.171252, 0.000000, 34.404167
209.650062, 51.986052, 63.766377, 53.095090, 120.401201, 253.438863, 210.963528, 7.559917, 116.101906, 97.832869, 60.279318, 126.738635, 80.521109, 109.624934, 82.735815, 71.579967, 179.288467, 229.600906, 67.851095, 209.933194, 220.417731, 169.125389, 197.069377, 218.797339, 184.038532, 203.892904, 88.334396, 159.735608, 31.220344, 66.230604, 186.474715, 92.168420, 122.894702, 32.569479, 161.620459, 105.129034, 115.418995, 135.576884, 161.816738, 140.676643, 187.396526, 82.765154, 122.927480, 49.967555, 77.103878, 219.039837, 62.366859, 204.175978, 112.282318, 108.470443, 8.913051, 146.143018, 224.534134, 229.517366, 73.776144, 52.441283, 241.235624, 100.953447, 167.915249, 136.065438, 130.995707, 104.196929, 210.718013, 24.421450, 222.525870, 36.259424, 69.880671, 194.015278, 68.920571, 140.986891, 211.781451, 192.901089, 154.180223, 120.424577, 193.324735, 75.055311, 12.509251, 49.759170, 124.735972, 214.444285, 209.329287, 197803171.373423, 83.141812, 0.000000, 0.000000
102.657145, 124.474109, 241.107131, 115.907056, 109.102079, 24.850269, 59.164612, 243.507307, 119.343205, 45.425927, 32.894594, 128.036894, 91.161805, 181.408383, 23.948405, 222.908841, 56.276151, 245.096234, 104.317667, 234.584606, 89.565320, 202.281293, 132.894429, 207.618912, 46.420659, 68.612218, 83.352471, 180.469897, 201.364420, 69.064958, 237.076119, 78.596104, 98.752063, 19.480372, 232.539442, 34.101065, 66.821048, 24.770608, 57.305664, 82.990420, 108.509787, 99.285040, 217.607358, 10.654900, 173.807897, 19.672404, 214.138333, 102.102490, 38.420804, 147.622686, 113.880945, 225.286685, 189.115015, 21.329575, 183.879020, 92.513771, 245.601476, 223.100853, 245.103546, 180.099361, 72.415882, 221.969138, 216.999181, 199.040019, 88.483757, 231.657810, 73.937796, 209.907498, 70.266374, 211.306779, 17.001459, 144.117674, 153.201784, 151.753423, 176.078518, 129.636702, 104.849843, 18.764228, 53.202205, 240.781995, 213.182184, 267141241.934131, 123.739073, 0.000000, 27.971988
13.175042, 86.417628, 62.265069, 76.521463, 69.387189, 193.152134, 100.165993, 131.338003, 123.738160, 194.339291, 182.131954, 228.479462, 183.192033, 98.199330, 125.973982, 102.365653, 218.926015, 231.473895, 165.549001, 212.620210, 135.787444, 87.895876, 152.206485, 206.310868, 179.812689, 170.160637, 131.844781, 7.002108, 107.407009, 175.531282, 117.454130, 95.563914, 59.696621, 130.943895, 123.908212, 45.665419, 159.998331, 125.070863, 133.504389, 221.189240, 66.713257, 22.534709, 205.973267, 177.292269, 243.578593, 44.527955, 193.946450, 26.586102, 254.684775, 148.893352, 197.439644, 99.169380, 148.585008, 149.989981, 106.601772, 146.493675, 223.095112, 38.421638, 29.888645, 165.332949, 45.726016, 21.974845, 88.585990, 67.609764, 188.067031, 34.884566, 30.605633, 138.833682, 153.334696, 123.614770, 213.840293, 9.007032, 249.389410, 112.774378, 234.894141, 236.695676, 50.751969, 2.979351, 14.613494, 210.992944, 250.853968, 134551695.246920, 59.672217, 0.000000, 0.000000
41.997285, 26.235296, 142.174160, 48.726286, 180.569402, 26.936346, 57.969725, 88.907000, 148.249572, 159.320332, 8.311015, 84.686616, 114.541023, 19.085137, 165.179162, 248.973339, 239.556698, 104.352623, 6.652390, 104.356362, 200.151363, 153.909685, 206.796422, 122.212500, 5.153227, 212.269896, 228.758620, 107.981403, 140.244500, 83.761196, 198.107673, 150.220175, 59.836440, 83.828620, 34.797553, 100.865310, 61.233844, 150.187894, 203.363344, 213.555090, 219.775219, 240.195390, 208.914928, 223.035573, 178.915195, 202.030831, 174.276551, 38.847256, 90.262649, 231.666599, 153.552094, 216.912816, 107.164573, 244.550016, 103.978785, 185.771407, 108.055422, 41.192269, 105.782692, 80.543241, 233.448092, 84.413229, 64.792597, 243.780076, 19.961079, 37.627756, 33.190725, 222.063343, 250.110249, 19.579673, 67.314149, 61.806019, 109.359363, 226.849147, 205.209056, 45.577614, 252.087658, 57.182781, 30.369581, 213.331786, 242.559122, 151052107.327008, 76.823771, 0.000000, 0.000000
