Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Var13, Var14, Var15, Var16, Var17, Var18, Obj1, Obj2, Constr1, Constr2
0.214073, 0.259181, 0.147632, 180.556096, 191.704116, 48.938501, 23.871911, 121.602303, 5.908552, 3.847736, 158.140819, 116.640290, 45.029118, 145.662006, 237.932871, 2.167363, 1.819461, 43.195808, 156946502.620661, 3.955424, 0.000000, 0.000000
0.144081, 0.100731, 0.147648, 28.706423, 0.388951, 0.609840, 0.004445, 0.845440, 0.476932, 11.409774, 144.448516, 82.577573, 36.298784, 95.449802, 107.108878, 0.049614, 0.036184, 0.806104, 350671419.453282, 2.957968, 0.000000, 0.000000
0.209151, 0.258955, 0.147635, 156.452722, 117.834853, 53.987682, 0.005726, 82.882214, 6.813507, 14.444656, 158.141619, 120.213918, 41.795921, 118.639723, 155.444842, 0.049750, 0.034522, 0.892838, 176121455.122216, 3.108944, 0.000000, 0.000000
0.147172, 0.258918, 0.147635, 156.089659, 96.311321, 53.896813, 5.915092, 82.821457, 6.716489, 14.530285, 158.142267, 108.403517, 42.320371, 120.945188, 152.658111, 0.049779, 0.036970, 0.588461, 243710851.468615, 3.108408, 0.000000, 0.000000
0.144081, 0.262089, 0.147345, 98.339857, 29.277116, 1.035985, 0.613294, 0.845440, 1.670962, 11.750576, 157.942988, 126.963947, 42.252759, 124.286860, 106.961487, 0.049781, 0.036917, 0.806107, 278286450.870848, 2.983302, 0.000000, 0.000000
0.035789, 0.066929, 0.147635, 157.067303, 96.440988, 53.120514, 0.578059, 82.833040, 6.626474, 14.577102, 158.142411, 108.403517, 42.319992, 121.041985, 146.352059, 0.049779, 0.036804, 0.820642, 255161652.197302, 3.103579, 0.000000, 0.000000
0.144081, 0.103148, 0.147648, 35.099785, 0.084581, 0.630023, 0.092701, 0.845440, 0.476932, 11.372910, 158.115099, 82.577993, 36.301920, 95.449802, 107.016336, 0.049613, 0.036184, 0.806104, 317817643.668440, 2.959716, 0.000000, 0.000000
0.144081, 0.211179, 0.147648, 50.518264, 4.276320, 1.037054, 0.613294, 0.845440, 1.670962, 11.372933, 157.941649, 95.504754, 42.102640, 95.449802, 107.902623, 0.049779, 0.036202, 0.806104, 292464183.262649, 2.965161, 0.000000, 0.000000
0.144081, 0.103061, 0.147648, 35.313760, 0.020474, 0.609941, 0.598995, 0.845440, 0.476932, 10.043019, 144.909827, 82.408486, 36.508479, 95.449802, 106.966785, 0.049620, 0.034666, 0.806107, 343876191.034549, 2.959662, 0.000000, 0.000000
0.125276, 0.102471, 0.147665, 50.518264, 0.018867, 0.575908, 0.028714, 0.845440, 1.670959, 10.026911, 144.357100, 82.577573, 36.508479, 122.404563, 107.948249, 0.049319, 0.036184, 0.806104, 307578716.332710, 2.964535, 0.000000, 0.000000
0.151183, 0.258980, 0.147635, 160.684233, 96.311321, 53.895499, 0.578059, 82.821457, 6.716489, 14.530285, 158.142411, 108.403517, 42.320372, 120.948479, 146.700931, 0.049779, 0.036970, 0.587664, 248026037.382544, 3.105320, 0.000000, 0.000000
0.144081, 0.103061, 0.147678, 35.312618, 0.018867, 0.609941, 0.079730, 0.845440, 0.476932, 10.030409, 144.398289, 76.466333, 36.508479, 94.110844, 107.948822, 0.049620, 0.034668, 0.806107, 349447304.226918, 2.958282, 0.000000, 0.000000
0.144081, 0.103106, 0.147648, 35.099785, 0.019743, 0.630543, 0.006410, 0.845440, 0.476932, 11.354278, 144.448516, 82.578011, 36.298784, 95.449802, 107.098448, 0.049613, 0.036186, 0.806104, 344073549.874902, 2.958372, 0.000000, 0.000000
0.144081, 0.103061, 0.147678, 35.312618, 0.018867, 0.609941, 0.079730, 0.845440, 0.476932, 10.030409, 144.398289, 76.466333, 36.508479, 94.110844, 107.948822, 0.049620, 0.034668, 0.806107, 351007728.937368, 2.958060, 0.000000, 0.000000
0.000846, 0.253445, 20.095447, 179.952926, 99.682723, 81.503214, 29.282385, 78.514035, 27.100200, 195.187838, 172.308808, 5.448063, 41.481149, 138.221182, 185.505499, 9.267162, 226.876757, 141.858188, 159579936.653344, 17.610972, 0.000000, 0.000000
0.212287, 0.258971, 0.147635, 139.465090, 96.311321, 28.992668, 0.615574, 13.544131, 6.716489, 96.015274, 158.144140, 124.704078, 42.252759, 120.382380, 237.726049, 2.167363, 0.153853, 0.652124, 281447044.516142, 3.065299, 0.000000, 0.000000
0.144081, 0.096781, 0.147648, 62.703654, 13.061889, 1.037054, 0.613294, 0.845435, 1.753220, 11.475980, 157.948675, 108.160571, 41.830199, 95.449802, 107.935273, 0.049779, 0.036184, 0.806104, 303696411.340371, 2.971959, 0.000000, 0.000000
0.144081, 0.094516, 0.147648, 50.518264, 4.276320, 3.682596, 0.613294, 0.845440, 1.670962, 11.372933, 129.271133, 51.516544, 39.665643, 85.374090, 107.950827, 0.049779, 0.036202, 0.806104, 326694203.635492, 2.963777, 0.000000, 0.000000
0.144081, 0.100689, 0.147648, 49.807291, 0.388951, 0.609840, 0.613294, 0.845440, 0.476932, 11.406964, 157.941649, 82.577573, 36.508479, 95.449802, 107.950827, 0.049620, 0.036184, 0.806104, 331819567.651663, 2.961905, 0.000000, 0.000000
0.144081, 0.103061, 0.147360, 35.282912, 3.318580, 0.496168, 0.079730, 0.845440, 0.476932, 11.379070, 144.278144, 82.577573, 36.508479, 94.185782, 107.948249, 0.049620, 0.036180, 0.806104, 346504041.272932, 2.959769, 0.000000, 0.000000
