Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Obj1, Obj2, Obj3
0.513188, 1.000000, 0.600022, 0.399974, 0.500000, 0.599976, 0.499993, 0.599632, 0.499817, 0.599782, 0.499610, 0.800554, 0.000000, 10.492468, 10.936443
0.495684, 0.000000, 0.601192, 0.400093, 0.500000, 0.599998, 0.500017, 0.599738, 0.399909, 0.599804, 0.499901, 0.800554, 11.685940, 0.000000, 11.528546
0.000000, 0.555021, 0.601007, 0.400024, 0.500000, 0.600043, 0.500002, 0.599710, 0.499817, 0.599938, 0.499972, 0.800554, 9.865207, 11.736853, 0.000000
0.282912, 0.515130, 0.600739, 0.400059, 0.500000, 0.600007, 0.500004, 0.599669, 0.499817, 0.599951, 0.500056, 0.800554, 9.494329, 9.956691, 6.550978
0.000000, 0.000000, 0.600607, 0.400056, 0.500000, 0.599929, 0.500029, 0.599731, 0.499817, 0.599937, 0.498580, 0.800554, 15.590747, 0.000000, 0.000000
1.000000, 0.989698, 0.600032, 0.399999, 0.500000, 0.599948, 0.499997, 0.599691, 0.399909, 0.599945, 0.499960, 0.800554, 0.000000, 0.000000, 16.110199
0.007250, 1.000000, 0.600185, 0.400020, 0.500000, 0.599909, 0.500005, 0.599651, 0.500153, 0.599958, 0.499457, 0.800554, 0.000000, 15.182398, 0.172907
0.932643, 0.994849, 0.601181, 0.400039, 0.500000, 0.599947, 0.500032, 0.599636, 0.501162, 0.599937, 0.499309, 0.800554, 0.013476, 1.665507, 15.683113
0.434016, 0.000000, 0.601543, 0.400080, 0.500000, 0.599930, 0.500026, 0.599743, 0.399909, 0.599735, 0.499741, 0.800554, 12.910383, 0.000000, 10.477565
0.484305, 0.000000, 0.601075, 0.400063, 0.500000, 0.599941, 0.500019, 0.599761, 0.400701, 0.599725, 0.499978, 0.800554, 11.909047, 0.000000, 11.335857
0.000000, 0.624015, 0.600432, 0.400051, 0.500000, 0.599980, 0.500039, 0.599732, 0.499817, 0.599980, 0.499583, 0.800554, 8.457736, 12.615597, 0.000000
0.159577, 1.000000, 0.600102, 0.399986, 0.500000, 0.599947, 0.500001, 0.599652, 0.501162, 0.600101, 0.499545, 0.800554, 0.000000, 14.944136, 3.826409
0.232623, 1.000000, 0.600102, 0.399986, 0.500000, 0.599966, 0.500001, 0.599652, 0.501162, 0.600101, 0.499545, 0.800554, 0.000000, 14.407837, 5.512217
0.136819, 0.150115, 0.601025, 0.400032, 0.500000, 0.599968, 0.500000, 0.599641, 0.499817, 0.599943, 0.499479, 0.800554, 14.628256, 3.514722, 3.284017
0.167631, 0.555021, 0.601007, 0.400024, 0.500000, 0.600007, 0.500003, 0.599710, 0.499817, 0.599938, 0.499797, 0.800554, 9.529471, 11.337421, 3.992498
0.065079, 0.441173, 0.600420, 0.400048, 0.500000, 0.599965, 0.499996, 0.599668, 0.499817, 0.599955, 0.499363, 0.800554, 11.661483, 9.683478, 1.554945
